dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
DTXSID70276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",115,0.0,exp5,0.8553064962601256
DTXSID90382620,812-70-4,3-(Perfluoroheptyl)propanoic acid,115,1.8507607374787217e-08,poly1,0.8553064962601256
DTXSID60892443,2806-15-7,Sodium perfluorodecanesulfonate,115,2.7455794834353362e-08,poly1,0.8553064962601256
DTXSID3031864,1763-23-1,Perfluorooctanesulfonic acid,115,1.1544077994129145e-11,poly1,0.8553064962601256
DTXSID1037303,375-85-9,Perfluoroheptanoic acid,115,0.0,exp4,0.8553064962601256
DTXSID60663110,801212-59-9,Perfluoro-4-isopropoxybutanoic acid,115,2.0464944899790596e-10,poly1,0.8553064962601256
DTXSID00190950,375-82-6,6:1 Fluorotelomer alcohol,115,2.2931564716800424e-08,poly1,0.8553064962601256
DTXSID70880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",115,1.601120448509402e-14,poly1,0.8553064962601256
DTXSID00892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",115,0.0,gnls,0.8553064962601256
DTXSID0060985,678-77-3,Hexafluoroglutaryl chloride,115,1.0807066376900459e-07,poly1,0.8553064962601256
DTXSID3031860,335-76-2,Perfluorodecanoic acid,115,4.910403267462314e-11,poly1,0.8553064962601256
DTXSID90868151,72629-94-8,Perfluorotridecanoic acid,115,5.132681230562272e-14,poly1,0.8553064962601256
DTXSID5059799,307-98-2,"1H,1H-Perfluorooctyl acrylate",115,1.4342999808096444e-10,pow,0.8553064962601256
DTXSID7040150,355-46-4,Perfluorohexanesulfonic acid,115,0.0,exp4,0.8553064962601256
DTXSID3059971,422-85-5,1-Bromoheptafluoropropane,115,0.0,exp4,0.8553064962601256
DTXSID10461880,1005-73-8,"1H,2H-Hexafluorocyclopentene",115,4.143057674943935e-08,pow,0.8553064962601256
DTXSID8047553,2058-94-8,Perfluoroundecanoic acid,115,5.514113131381812e-13,poly1,0.8553064962601256
DTXSID50382621,25600-66-2,7:3 Fluorotelomer alcohol,115,3.1440074018500006e-08,pow,0.8553064962601256
DTXSID0036926,335-27-3,"Perfluoro-1,3-dimethylcyclohexane",115,7.578566355096625e-09,poly1,0.8553064962601256
DTXSID80881157,94159-84-9,"1-(Perfluorofluorooctyl)propane-2,3-diol",115,0.0,gnls,0.8553064962601256
DTXSID30880413,38565-52-5,"3-(Perfluorohexyl)-1,2-epoxypropane",115,2.5540328642527265e-12,poly1,0.8553064962601256
DTXSID90371872,35192-44-0,"1,8-Divinylperfluorooctane",115,1.2864961738540844e-10,poly1,0.8553064962601256
DTXSID8052017,3330-15-2,Perfluoro-3-(1H-perfluoroethoxy)propane,115,0.0,hill,0.8553064962601256
DTXSID5059828,335-58-0,1-Iodopentadecafluoroheptane,115,2.0634004708341276e-09,poly1,0.8553064962601256
DTXSID60379901,50836-66-3,(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,115,9.556081107742026e-12,poly1,0.8553064962601256
DTXSID50880218,15290-77-4,"1H,1H,2H-Perfluorocyclopentane",115,0.0,exp4,0.8553064962601256
DTXSID60380390,79963-95-4,"2,2,2-Trifluoroethyl perfluorobutanesulfonate",115,1.5569587516260666e-08,poly1,0.8553064962601256
DTXSID7027831,24448-09-7,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,115,2.205513543141708e-13,poly1,0.8553064962601256
DTXSID7059933,382-28-5,Perfluoro(N-methylmorpholine),115,6.218226519950209e-13,poly1,0.8553064962601256
DTXSID70191136,377-73-1,Perfluoro-3-methoxypropanoic acid,115,1.2222776564930671e-11,poly1,0.8553064962601256
DTXSID1047578,2043-55-2,"1H,1H,2H,2H-Perfluorohexyl iodide",115,9.762387659420744e-13,poly1,0.8553064962601256
DTXSID70381151,307-31-3,Perfluorooctanamidine,115,0.0012753660117959889,exp2,0.8553064962601256
DTXSID70400078,3834-42-2,(Heptafluoropropyl)trimethylsilane,115,0.0,exp4,0.8553064962601256
DTXSID8044969,63863-43-4,Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate),115,3.19670309933636e-09,poly1,0.8553064962601256
DTXSID6062599,2706-90-3,Perfluoropentanoic acid,115,0.0,exp4,0.8553064962601256
DTXSID00379268,356-02-5,3:3 Fluorotelomer carboxylic acid,115,2.2069101499554433e-10,poly1,0.8553064962601256
DTXSID20179883,252237-40-4,2-(Perfluorohexyl)ethylphosphonic acid,115,5.4875330756945776e-12,poly1,0.8553064962601256
DTXSID3065586,13695-31-3,(Perfluoropropyl)methyl methacrylate,115,0.0,exp4,0.8553064962601256
DTXSID40204489,559-14-8,Perfluorooct-1-ene,115,8.436908937628179e-09,poly1,0.8553064962601256
DTXSID80379781,6588-63-2,Perfluorocyclohexanecarbonyl fluoride,115,4.626033946402223e-13,poly1,0.8553064962601256
DTXSID7074616,21652-58-4,"1H,1H,2H-Perfluoro-1-decene",115,1.3402072065249368e-13,poly1,0.8553064962601256
DTXSID9061881,1682-31-1,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",115,6.66362807741061e-08,poly1,0.8553064962601256
DTXSID6067331,27619-97-2,6:2 Fluorotelomer sulfonic acid,115,6.527267786022486e-11,poly1,0.8553064962601256
DTXSID30627108,80220-63-9,((Perfluorooctyl)ethyl)phosphonic acid,115,1.6668902215932014e-12,poly1,0.8553064962601256
