dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
DTXSID80379721,2264-01-9,"1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate",2,2.4704463935303977e-08,poly1,25.491993470325276
DTXSID00194615,4180-26-1,"1H,1H,9H-Perfluorononyl acrylate",2,3.1319497092249218e-12,poly1,25.491993470325276
DTXSID40108559,62037-80-3,Ammonium perfluoro-2-methyl-3-oxahexanoate,2,6.803483156160703e-13,poly1,25.491993470325276
DTXSID5059799,307-98-2,"1H,1H-Perfluorooctyl acrylate",2,1.728361925072359e-09,exp2,25.491993470325276
DTXSID1062122,2043-47-2,4:2 Fluorotelomer alcohol,2,4.624352133399197e-13,poly1,25.491993470325276
DTXSID1074915,51851-37-7,Triethoxy((perfluorohexyl)ethyl)silane,2,9.735032386646558e-11,pow,25.491993470325276
DTXSID60380390,79963-95-4,"2,2,2-Trifluoroethyl perfluorobutanesulfonate",2,0.0,none,25.491993470325276
DTXSID90371872,35192-44-0,"1,8-Divinylperfluorooctane",2,7.263334051613638e-11,exp2,25.491993470325276
DTXSID4059912,374-98-1,Heptafluorobutyl iodide,2,2.101762570147462e-09,exp2,25.491993470325276
DTXSID70880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",2,3.566940700268693e-08,poly1,25.491993470325276
DTXSID5027140,307-35-7,Perfluorooctanesulfonyl fluoride,2,0.0,hill,25.491993470325276
DTXSID50892417,679-12-9,4H-Perfluorobutanoic acid,2,1.4963614249237486e-20,hill,25.491993470325276
DTXSID3047558,2144-53-8,2-(Perfluorohexyl)ethyl methacrylate,2,1.7759763767983295e-15,poly1,25.491993470325276
DTXSID5030030,375-73-5,Perfluorobutanesulfonic acid,2,3.917916682498397e-19,pow,25.491993470325276
DTXSID6027426,1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctane sulfonamide,2,6.790491895480764e-15,poly1,25.491993470325276
DTXSID8059920,375-92-8,Perfluoroheptanesulfonic acid,2,0.0,exp4,25.491993470325276
DTXSID3059927,376-90-9,Hexafluoroamylene glycol,2,5.83213044447618e-16,poly1,25.491993470325276
DTXSID3031860,335-76-2,Perfluorodecanoic acid,2,0.0,gnls,25.491993470325276
DTXSID8031863,375-95-1,Perfluorononanoic acid,2,0.0,gnls,25.491993470325276
DTXSID9059919,375-88-2,1-Bromopentadecafluoroheptane,2,8.927564411507176e-12,poly1,25.491993470325276
DTXSID0060985,678-77-3,Hexafluoroglutaryl chloride,2,0.0,gnls,25.491993470325276
DTXSID30382104,865-79-2,9-Chloro-perfluorononanoic acid,2,0.0,gnls,25.491993470325276
DTXSID50880218,15290-77-4,"1H,1H,2H-Perfluorocyclopentane",2,0.0,exp5,25.491993470325276
DTXSID60892443,2806-15-7,Sodium perfluorodecanesulfonate,2,1.6712660366887005e-12,poly1,25.491993470325276
DTXSID9061881,1682-31-1,"1-Iodo-1H,1H,2H,2H-perfluoroheptane",2,0.0,pow,25.491993470325276
DTXSID8051419,1652-63-7,"N-[(Perfluorooctylsulfonamido)propyl]-N,N,N-trimethylammonium iodide",2,0.0,gnls,25.491993470325276
DTXSID00892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",2,2.8927236870776295e-11,poly1,25.491993470325276
DTXSID20337446,34143-74-3,2-(Perfluorooctyl)ethanthiol,2,0.0,pow,25.491993470325276
DTXSID90382620,812-70-4,3-(Perfluoroheptyl)propanoic acid,2,6.144197993877219e-17,poly1,25.491993470325276
DTXSID00192353,39108-34-4,8:2 Fluorotelomer sulfonic acid,2,7.104721500155119e-16,poly1,25.491993470325276
DTXSID3059921,376-06-7,Perfluorotetradecanoic acid,2,5.497443567560268e-16,poly1,25.491993470325276
DTXSID7027831,24448-09-7,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,2,6.539203428797171e-18,poly1,25.491993470325276
DTXSID50375114,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",2,2.8544643722564223e-13,poly1,25.491993470325276
DTXSID60400587,13485-61-5,Nonafluoropentanamide,2,0.0,exp4,25.491993470325276
DTXSID6067331,27619-97-2,6:2 Fluorotelomer sulfonic acid,2,3.0822213242736636e-20,poly1,25.491993470325276
DTXSID90558000,57678-01-0,6:2 Fluorotelomer phosphate monoester,2,0.06360751994648209,exp4,25.491993470325276
DTXSID0059879,355-80-6,"1H,1H,5H-Perfluoropentanol",2,0.0,pow,25.491993470325276
DTXSID50229163,78560-45-9,Trichloro((perfluorohexyl)ethyl)silane,2,0.0,gnls,25.491993470325276
DTXSID50441560,132424-36-3,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",2,8.727940981727264e-11,poly1,25.491993470325276
DTXSID70880134,374-40-3,1-Pentafluoroethylethanol,2,0.0,exp4,25.491993470325276
DTXSID30891564,757124-72-4,4:2 Fluorotelomer sulfonic acid,2,0.0,exp4,25.491993470325276
DTXSID50381073,137780-69-9,"Perfluoro-3,6-dioxadecanoic acid",2,0.0,exp4,25.491993470325276
DTXSID30378880,74427-22-8,"2,2-Difluoroethyl triflate",2,3.8152406772056755e-15,poly1,25.491993470325276
DTXSID30382063,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",2,1.3551783939860598e-18,poly1,25.491993470325276
DTXSID1032646,4151-50-2,N-Ethylperfluorooctane sulfonamide,2,1.5661280997569592e-11,poly1,25.491993470325276
