smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)O,DTXSID70276659,65294-16-8,"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic) acid",112,0.01725765816108462,pow,0.7755397352445266
C(CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(=O)O,DTXSID90382620,812-70-4,3-(Perfluoroheptyl)propanoic acid,112,2.711694737092922e-07,poly1,0.7755397352445266
C(C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F.[Na+],DTXSID60892443,2806-15-7,Sodium perfluorodecanesulfonate,112,0.8694962844484438,exp5,0.7755397352445266
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID3031864,1763-23-1,Perfluorooctanesulfonic acid,112,0.9999999712839008,exp5,0.7755397352445266
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID1037303,375-85-9,Perfluoroheptanoic acid,112,0.0,hill,0.7755397352445266
C(=O)(C(C(C(OC(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)O,DTXSID60663110,801212-59-9,Perfluoro-4-isopropoxybutanoic acid,112,3.7375564293127407e-10,exp4,0.7755397352445266
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID00190950,375-82-6,6:1 Fluorotelomer alcohol,112,1.1143706118019686e-15,exp4,0.7755397352445266
C1C(O1)COCC(C(F)F)(F)F,DTXSID70880230,19932-26-4,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",112,2.5411571401431166e-13,poly1,0.7755397352445266
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)O,DTXSID00892442,13252-14-7,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid",112,0.0,exp5,0.7755397352445266
C(=O)(C(C(C(C(=O)Cl)(F)F)(F)F)(F)F)Cl,DTXSID0060985,678-77-3,Hexafluoroglutaryl chloride,112,0.0,exp5,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID3031860,335-76-2,Perfluorodecanoic acid,112,0.9999999999172067,hill,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID90868151,72629-94-8,Perfluorotridecanoic acid,112,0.9999212643785338,pow,0.7755397352445266
C=CC(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID5059799,307-98-2,"1H,1H-Perfluorooctyl acrylate",112,1.499459715181222e-10,poly1,0.7755397352445266
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,DTXSID7040150,355-46-4,Perfluorohexanesulfonic acid,112,0.0,exp4,0.7755397352445266
C(C(F)(F)F)(C(F)(F)Br)(F)F,DTXSID3059971,422-85-5,1-Bromoheptafluoropropane,112,1.3574506454237448e-09,poly1,0.7755397352445266
C1=CC(C(C1(F)F)(F)F)(F)F,DTXSID10461880,1005-73-8,"1H,2H-Hexafluorocyclopentene",112,2.1504592851512508e-07,poly1,0.7755397352445266
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID8047553,2058-94-8,Perfluoroundecanoic acid,112,0.9999548375769538,gnls,0.7755397352445266
C(CC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,DTXSID50382621,25600-66-2,7:3 Fluorotelomer alcohol,112,0.277647498079845,exp5,0.7755397352445266
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)F,DTXSID0036926,335-27-3,"Perfluoro-1,3-dimethylcyclohexane",112,3.372099588902452e-13,poly1,0.7755397352445266
C(C(CO)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID80881157,94159-84-9,"1-(Perfluorofluorooctyl)propane-2,3-diol",112,1.7589846841469381e-06,pow,0.7755397352445266
C1C(O1)CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID30880413,38565-52-5,"3-(Perfluorohexyl)-1,2-epoxypropane",112,6.53584189135086e-07,gnls,0.7755397352445266
C=CC(C(C(C(C(C(C(C(C=C)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID90371872,35192-44-0,"1,8-Divinylperfluorooctane",112,0.0,exp4,0.7755397352445266
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,DTXSID8052017,3330-15-2,Perfluoro-3-(1H-perfluoroethoxy)propane,112,3.987168877741349e-11,poly1,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)I)(F)F)(F)F)(F)F,DTXSID5059828,335-58-0,1-Iodopentadecafluoroheptane,112,7.12217836599524e-14,poly1,0.7755397352445266
CC(=C)C(=O)OCCC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F,DTXSID60379901,50836-66-3,(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate,112,6.968158253613698e-10,pow,0.7755397352445266
